标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡),面积_数值,总价_数值,单价_数值,建造年份_数值,房间数
好装两房，高楼层，看莲花山公园，精装修，业主诚心卖，看房方便,2室2厅1卫,84.79㎡,东北,高层(共32层),1997年建造,中银花园,福田,福田中心区,福中一路1006号,"东北,满五年,近地铁,车位充足",388.0,45761元/㎡,84.79,388.0,45761.0,1997.0,2.0
南山换房易！留仙洞   万科云城精装实用房,3室2厅2卫,92.18㎡,北,中层(共32层),2014年建造,万科云城(一期),南山,西丽,创科路,"北,满五年,近地铁,车位充足",396.0,42960元/㎡,92.18,396.0,42960.0,2014.0,3.0
玺悦台 中间好楼层 刚需小三居 满二   精装修 车位充足,3室2厅1卫,86㎡,南,中层(共33层),2022年建造,玺悦台,坪山,坪山,宝横路,"南,满二年,车位充足,户型方正",182.0,21163元/㎡,86.0,182.0,21163.0,2022.0,3.0
温馨两室两厅，公园环绕，地铁便捷，理想居家选择！,2室2厅1卫,72㎡,西,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"西,有电梯,近地铁,次新房",528.0,73334元/㎡,72.0,528.0,73334.0,2024.0,2.0
沙头角精装3房核心商圈海山地铁口好户型满5年,3室2厅2卫,89.31㎡,西南,中层(共26层),2016年建造,上善梧桐苑,盐田,沙头角,海山路98号,"西南,唯一住房,近地铁,绿化率高",388.0,43445元/㎡,89.31,388.0,43445.0,2016.0,3.0
近地铁 产权清晰 电梯房 购物方便 精装可拎包入住 楼层好,3室2厅2卫,117.63㎡,南北,中层(共26层),2003年建造,天健世纪花园,福田,福田中心区,福中一路1013号,"经纪人力荐,南北,热门小区,房东急售",799.0,67925元/㎡,117.63,799.0,67925.0,2003.0,3.0
业主只求一卖，非常着急了，急跺脚了,3室2厅1卫,87.26㎡,西南,中层(共30层),2009年建造,中海康城花园,龙岗,大运,清辉路149号,"西南,满五年,近地铁,车位充足",228.0,26129元/㎡,87.26,228.0,26129.0,2009.0,3.0
近地铁 满五   小区新 双卫格局 小三房 产权清晰,3室2厅2卫,86.74㎡,东,低层(共40层),2017年建造,万科公园里,布吉,南岭,樟富北路8号,"东,满五年,户型方正",298.0,34356元/㎡,86.74,298.0,34356.0,2017.0,3.0
林海山庄，正三房，厅出阳台，户型方正实用。,3室2厅1卫,90.08㎡,西南,低层(共14层),2001年建造,林海山庄,福田,下梅林,北环大道7020号,"西南,满五年,近地铁,绿化率高",465.0,51621元/㎡,90.08,465.0,51621.0,2001.0,3.0
双卫格局 车位充足 商业配套齐全 正南朝向 精装修 小三房,3室2厅2卫,98.98㎡,南,高层(共6层),2004年建造,鸿景春天,龙岗,龙岗中心城,鸿基路8号,"南,满五年,近地铁,车位充足",118.0,11922元/㎡,98.98,118.0,11922.0,2004.0,3.0
中海康城大社区楼盘！业主急出，厅出阳台视野开阔，采光佳！,3室2厅1卫,72.28㎡,北,低层(共33层),2009年建造,中海康城花园,龙岗,大运,清辉路149号,"北,满五年,近地铁,车位充足",210.0,29054元/㎡,72.28,210.0,29054.0,2009.0,3.0
择居滨河新村处，一宅揽尽人间烟火色！,3室2厅1卫,84.1㎡,东南,低层(共7层),1984年建造,滨河新村,福田,上步,东园路17号,"东南,热门小区,房东急售,随时可看",416.0,49465元/㎡,84.1,416.0,49465.0,1984.0,3.0
精装修4房，连廊地铁，诚心出,4室2厅2卫,89.56㎡,西北,高层(共32层),2016年建造,龙光玖龙玺,龙华,梅林关口,新区大道,"西北,有电梯,近地铁,车位充足",698.0,77937元/㎡,89.56,698.0,77937.0,2016.0,4.0
前海花园三期精装3房，户型方正，使用率高,3室2厅1卫,81.09㎡,西,低层(共18层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,户型方正",498.0,61414元/㎡,81.09,498.0,61414.0,2004.0,3.0
滨江新村98平60平私家院子 还有两个固定车位！,3室2厅1卫,98.59㎡,南北,低层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"南北,满五年,近地铁,采光较好",469.0,47571元/㎡,98.59,469.0,47571.0,1984.0,3.0
石厦  小户型，两室一厅，临近大型公园，享受自然与生活的,2室1厅1卫,60.28㎡,西南,高层(共33层),2005年建造,星座传奇,福田,石厦,石厦北三街8号,"西南,满五年,近地铁,采光较好",450.0,74652元/㎡,60.28,450.0,74652.0,2005.0,2.0
观湖园 南向采光好 临地铁 商品房 超低密度观澜,4室2厅3卫,157㎡,南,共3层,2009年建造,观湖园,龙华,观澜,泗黎路408-1号,"南,满五年",780.0,49682元/㎡,157.0,780.0,49682.0,2009.0,4.0
绿景虹湾0距离地铁口物业，正规三房两卫，安静不吵,3室2厅2卫,87.57㎡,东,中层(共43层),2015年建造,绿景虹湾,福田,下梅林,北环大道6098号,"东,热门小区,房东急售,随时可看",635.0,72514元/㎡,87.57,635.0,72514.0,2015.0,3.0
观澜 小三房 停车方便 正规商品房 中间好楼层 朝南,3室2厅2卫,82.78㎡,南,高层(共32层),2018年建造,珑门,龙华,观澜,新丹路88号,"南,满二年,车位充足,户型方正",265.0,32013元/㎡,82.78,265.0,32013.0,2018.0,3.0
宝安航城13年次新2房 （  零） 安静看花园 价格可谈,2室1厅1卫,65.22㎡,南,中层(共13层),2013年建造,领航里程花园,宝安,领航城,航城大道6-9号,"南,满五年,近地铁",275.0,42165元/㎡,65.22,275.0,42165.0,2013.0,2.0
推窗即山景！莲花山 灯光秀，东南向MVP户型，诚售,3室2厅2卫,96.61㎡,东南,高层(共29层),1994年建造,景新花园,福田,景田北,莲花路2002号,"东南,满五年,近地铁,采光较好",498.0,51548元/㎡,96.61,498.0,51548.0,1994.0,3.0
龙华 正南朝向 低密度社区 得房率高 产权清晰 近地铁,2室2厅1卫,74㎡,南,低层(共8层),1995年建造,滢水山庄(一区),龙华,龙华,梅坂大道91号,"南,满五年,近地铁,车位充足",260.0,35136元/㎡,74.0,260.0,35136.0,1995.0,2.0
蔚蓝铂樾府精装三房，小区环境好，业主诚心卖价格还可以谈,3室2厅1卫,86.02㎡,东南,低层(共31层),2023年建造,卓越蔚蓝铂樾府,大鹏新区,葵涌,金葵东路,"东南,满二年,车位充足",182.0,21158元/㎡,86.02,182.0,21158.0,2023.0,3.0
已出证！急急急！业主急售！御龙天地大三房 近地铁 看房方便,3室2厅2卫,108㎡,南,中层(共55层),2025年建造,御龙天地,罗湖,翠竹,华丽路,"南,热门小区,房东急售,随时可看",599.0,55463元/㎡,108.0,599.0,55463.0,2025.0,3.0
御河堤性价比之3房，业主急售，一口价钥匙在手，看房方便,3室2厅1卫,87.93㎡,南北,高层(共26层),2009年建造,御河堤(城滨雅苑),福田,上步,东园路28号,"南北,满五年,近地铁",515.0,58570元/㎡,87.93,515.0,58570.0,2009.0,3.0
业主急售信义金御山居精装修三房两卫南北通透可拎包入住欢迎咨询,3室2厅2卫,84㎡,南北,高层(共32层),2025年建造,信义金御山居,龙岗,横岗,广达路27号,"南北,满五年,近地铁,次新房",244.0,29048元/㎡,84.0,244.0,29048.0,2025.0,3.0
金叶茗苑~中楼层电梯房~停车充足~双卫~小区绿化高~密度低,3室2厅1卫,95.96㎡,西北,中层(共15层),2002年建造,金叶茗苑,宝安,宝安中心区,翻身路,"西北,满二年,近地铁,采光较好",430.0,44811元/㎡,95.96,430.0,44811.0,2002.0,3.0
核心区域15年次新三房丨地铁万达业主处理资产抛了,3室2厅1卫,77.34㎡,西南,低层(共32层),2015年建造,华盛盛荟,宝安,新安,上川路,"西南,满五年,近地铁,车位充足",425.0,54953元/㎡,77.34,425.0,54953.0,2015.0,3.0
厅出阳台朝南的三房，位置安静,3室2厅2卫,98.83㎡,西南,低层(共6层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"西南,满五年,近地铁,多人关注",618.0,62532元/㎡,98.83,618.0,62532.0,2002.0,3.0
福田中心区旁地铁口豪装大两房，3XX，婚房装修拎包入住,2室2厅1卫,82㎡,北,中层(共29层),2001年建造,共和世家,福田,皇岗,益田路2004号,"北,热门小区,房东急售,随时可看",424.0,51708元/㎡,82.0,424.0,51708.0,2001.0,2.0
坪山中心区地铁口旁 价格可谈 满五  税费少业主非常急卖急卖,3室2厅2卫,86.75㎡,南北,中层(共33层),2013年建造,大东城(二期),坪山,坪山,行政九路2号,"南北,满五年,近地铁,多人关注",95.0,10952元/㎡,86.75,95.0,10952.0,2013.0,3.0
一线海景，毫无遮挡，业主自住50万豪华装修，2房可改3房，,2室2厅1卫,83.28㎡,南,中层(共8层),1998年建造,东埔海景花园,盐田,沙头角,金融路2号,"南,近地铁,户型方正",330.0,39626元/㎡,83.28,330.0,39626.0,1998.0,2.0
前海，带私家40平大花园，南北通透电梯小高层，业主急售！,4室2厅2卫,108.21㎡,南,高层(共25层),2004年建造,东方新地,南山,南头,深南大道,"南,满五年,近地铁,采光较好",560.0,51752元/㎡,108.21,560.0,51752.0,2004.0,4.0
地铁口大花园使用率高！红本在手电梯小高层南向大三房！,3室2厅2卫,92.01㎡,南,高层(共9层),2004年建造,叠翠新峰,龙岗,龙岗中心城,碧新路2066号,"南,满五年,近地铁,绿化率高",190.0,20650元/㎡,92.01,190.0,20650.0,2004.0,3.0
万科清林径花园式的小区，视野无遮挡很治愈，业主急售！,3室2厅1卫,79.76㎡,北,高层(共32层),2012年建造,万科清林径(二期),龙岗,龙岗中心城,"连心路,近朱古石路","北,满五年,绿化率高,多人关注",152.0,19058元/㎡,79.76,152.0,19058.0,2012.0,3.0
南山西丽大花园万科物业！大三房高层，业主精装！,3室2厅2卫,104.41㎡,西北,中层(共22层),2004年建造,南国丽城,南山,西丽,留仙大道1306号,"西北,配套成熟,公摊小,交易周期可谈",658.0,63021元/㎡,104.41,658.0,63021.0,2004.0,3.0
沙头角次新房，鹏瑞尚府精装3房双阳台,3室2厅2卫,117.61㎡,南北,低层(共46层),2024年建造,鹏瑞尚府,盐田,沙头角,田心东路,"南北,有电梯,近地铁,次新房",538.0,45745元/㎡,117.61,538.0,45745.0,2024.0,3.0
深中有效 安静后排看山景 业主换房急售 价格可刀,3室2厅2卫,89.15㎡,西南,低层(共33层),2019年建造,颐安麓园,龙岗,龙岗中心城,黄阁路,"西南,满五年,近地铁,户型方正",362.0,40606元/㎡,89.15,362.0,40606.0,2019.0,3.0
特皓苑诚心出售，朝南高楼层，采光  ，带地面花园，人车分流,3室2厅1卫,82㎡,南,高层(共8层),2001年建造,特皓苑,福田,上梅林,林园东路10号,"南,唯一住房,近地铁,采光较好",332.0,40488元/㎡,82.0,332.0,40488.0,2001.0,3.0
海雅缤纷城旁，新安湖花园急卖笋盘，大花园社区,3室2厅2卫,115.51㎡,南,中层(共33层),1999年建造,新安湖花园(二三期),宝安,新安,兴华二路188号,"南,满五年,近地铁",468.0,40516元/㎡,115.51,468.0,40516.0,1999.0,3.0
"光明新村，朝南精装3房,户型正气,楼层好老少皆宜,价格可谈",3室2厅2卫,80㎡,南北,中层(共25层),2016年建造,光明新村,光明,光明,华裕路,"南北,满五年,近地铁,多人关注",120.0,15000元/㎡,80.0,120.0,15000.0,2016.0,3.0
颐安四期精装三房双卫中间楼层坐北朝南视野开阔直接可以拎包入住,3室2厅2卫,87.54㎡,南北,高层(共31层),2023年建造,颐安都会中央(四期),龙岗,大运,红棉路,"热门小区,南北通透,满五",314.0,35870元/㎡,87.54,314.0,35870.0,2023.0,3.0
户型方正结构合理，正规的三房，西向业主诚心出,3室2厅2卫,85.83㎡,西,高层(共45层),2017年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"西,满五年,近地铁,采光较好",528.0,61517元/㎡,85.83,528.0,61517.0,2017.0,3.0
恒大通透舒适宜居户型看房提前联系,3室2厅2卫,97.21㎡,南,低层(共46层),2019年建造,恒大天璟,南山,南油,南海大道,"南,房东发布,满五年,近地铁",549.0,56476元/㎡,97.21,549.0,56476.0,2019.0,3.0
南山区政府  换房易 南向大平层 精装修三居室 环境优美,3室2厅2卫,110㎡,南,低层(共30层),2021年建造,金众麒麟公馆,南山,大学城,沁园二路,"南,满二年,近地铁,次新房",830.0,75455元/㎡,110.0,830.0,75455.0,2021.0,3.0
万科金域学府近回龙埔地铁,3室2厅2卫,89.91㎡,东南,高层(共49层),2023年建造,万科金域学府,龙岗,龙城国际,龙埔路,"东南,满二年,近地铁,次新房",310.0,34479元/㎡,89.91,310.0,34479.0,2023.0,3.0
精装修两房地铁口物业紧邻洪湖公园,2室2厅1卫,63.96㎡,东南,低层(共32层),2010年建造,田贝花园,罗湖,洪湖,文锦北路1081号,"东南,有电梯,近地铁,采光较好",308.0,48156元/㎡,63.96,308.0,48156.0,2010.0,2.0
深物业金领 出行方便 次新房 近医院 商品住宅 南北通透,2室2厅1卫,63.63㎡,南北,低层(共48层),2021年建造,深物业金领,福田,皇岗,福田南路40号,"南北,热门小区,新上小区,优势户型",368.0,57835元/㎡,63.63,368.0,57835.0,2021.0,2.0
商品房 楼龄新 带电梯 满五   南向采光好 大两居,3室2厅2卫,86.03㎡,南,低层(共33层),2016年建造,金众云山栖,大鹏新区,葵涌,石葵路,"南,满五年,车位充足",190.0,22086元/㎡,86.03,190.0,22086.0,2016.0,3.0
龙岗中心城别墅399买 上下三层 三卫 独门独户,4室2厅3卫,164.04㎡,南北,共3层,2006年建造,中央悦城,龙岗,龙岗中心城,长兴北路3号,"南北,满五年,近地铁,绿化率高",399.0,24324元/㎡,164.04,399.0,24324.0,2006.0,4.0
黄埔雅苑一期，方正户型，通风采光佳，带地面花园，人车分流，业,3室2厅2卫,107.12㎡,西北,中层(共27层),2001年建造,黄埔雅苑翠悠园,福田,福田中心区,福中路318号,"西北,满五年,近地铁,绿化率高",820.0,76550元/㎡,107.12,820.0,76550.0,2001.0,3.0
正规商品房 满五   房龄新 车位充足 双卫生间 近医院,3室2厅2卫,88.95㎡,南,低层(共31层),2016年建造,怡瑞达乐郡,龙岗,同乐,深汕路418号,"南,满五年,近地铁,车位充足",106.0,11917元/㎡,88.95,106.0,11917.0,2016.0,3.0
电梯房 朝南 商圈成熟 满五 正规商品房 近地铁 诚心出售,4室2厅3卫,84.7㎡,南,高层(共32层),2011年建造,来座山,布吉,慢城,科技园路,"南,房东发布,满五年,近地铁",440.0,51949元/㎡,84.7,440.0,51949.0,2011.0,4.0
实地看过，高使用率的电梯小高层,4室2厅2卫,115.53㎡,北,中层(共18层),2002年建造,星海名城(二期),南山,前海,前海路3103号,"北,近地铁,优势户型,房东急售",680.0,58860元/㎡,115.53,680.0,58860.0,2002.0,4.0
龙岗中心城 双卫格局 装修豪华保养好 房龄新 医疗配套成熟,4室2厅2卫,89.44㎡,南,高层(共33层),2017年建造,恒裕嘉城,龙岗,龙岗中心城,龙升路36号,"南,满五年,近地铁",143.0,15989元/㎡,89.44,143.0,15989.0,2017.0,4.0
户型方正，通风采光俱佳，客厅出阳台，使用率高,2室2厅1卫,64.91㎡,北,中层(共27层),2003年建造,帝港海湾豪园,福田,保税区,桂花路11号,"北,唯一住房,近地铁,采光较好",340.0,52381元/㎡,64.91,340.0,52381.0,2003.0,2.0
"紧邻地铁,地铁口花园小区（红本在手，包过户可按揭）来电随时看",3室2厅2卫,80㎡,南北,中层(共11层),2012年建造,黄金豪庭(南山),南山,南油,粤海路13号,"南北,满五年,近地铁",140.0,17500元/㎡,80.0,140.0,17500.0,2012.0,3.0
福田中心区 70年产权 总价1字头可买2房 租    元,1室1厅1卫,38㎡,南,,2026年建造,京基宸悦府·芯悦club,福田,上梅林,地铁4/9号线上梅林站约300米,"卧室全朝南,动静分离,多轨交",178.0,46843元/㎡,38.0,178.0,46843.0,2026.0,1.0
380起，深中南创旁，次新楼盘现房交付,1室1厅1卫,58㎡,南,,2024年建造,丹华公馆(新房),南山,西丽,留仙洞片区打石一路西南侧,"厨卫全明,南北通透,动静分离,多轨交",492.0,84828元/㎡,58.0,492.0,84828.0,2024.0,1.0
中建鹏宸云筑  梅林关 得房率超95% 总价416万起,3室2厅2卫,126㎡,南,,2026年建造,中建壹品·湖北文旅·鹏宸云筑,龙华,民治,华南路与民乐路交汇处西北侧,"南北通透,厨卫全明,主卧套房,轨交房",712.0,56508元/㎡,126.0,712.0,56508.0,2026.0,3.0
业主急价格好谈很熟的业主 钥匙在手看房方便 地铁口天虹楼上,3室2厅2卫,88.89㎡,南,中层(共24层),2012年建造,深业东城国际,坪山,坪山,锦龙大道,"南,满五年,近地铁,车位充足",205.0,23063元/㎡,88.89,205.0,23063.0,2012.0,3.0
世界金融中心业主急售145 带露台一房一厅,1室1厅1卫,34.9㎡,南北,高层(共25层),2004年建造,世界金融中心,罗湖,国贸,深南东路,"南北,满二年,近地铁",145.0,41548元/㎡,34.9,145.0,41548.0,2004.0,1.0
沙井 满五 双卫格局 小三房 精装可拎包入住 小区新 电梯房,3室2厅2卫,88.99㎡,南,低层(共33层),2015年建造,博林君瑞,宝安,沙井,"中心路,近上星南路","南,满五年,近地铁,户型方正",336.8,37847元/㎡,88.99,336.8,37847.0,2015.0,3.0
馨庭苑诚心出售，户型方正，通风采光优，带    与地面花园，,4室2厅2卫,120㎡,东南,中层(共16层),1998年建造,馨庭苑(福田),福田,景田北,景田北街22号,"东南,满五年,近地铁,绿化率高",1099.0,91584元/㎡,120.0,1099.0,91584.0,1998.0,4.0
急售420 金融街华发融御花园，税费低，户型方正，通风采光优,4室2厅2卫,115.13㎡,南北,高层(共37层),2023年建造,金融街华发融御华府,光明,光明,科能路,"南北,满五年,近地铁,次新房",420.0,36481元/㎡,115.13,420.0,36481.0,2023.0,4.0
福田中心区电梯小高层赠露台户型露台4子头,3室2厅2卫,98.06㎡,北,低层(共9层),1998年建造,嘉洲豪园,福田,新洲,滨河大道9013号,"北,满五年,近地铁,采光较好",430.0,43851元/㎡,98.06,430.0,43851.0,1998.0,3.0
东南朝向三室两厅，公园环绕，地铁便捷，舒适生活尽在此处。,3室2厅2卫,116.59㎡,东南,中层(共32层),2000年建造,怡园大厦,南山,南山中心区,学府路101号,"东南,满五年,近地铁,采光较好",460.0,39455元/㎡,116.59,460.0,39455.0,2000.0,3.0
新出南向大三房！电梯小高层！格局方正通透！停车方便！,3室2厅1卫,92㎡,南,高层(共7层),2002年建造,前海花园,南山,前海,桃园路288号,"南,满五年,近地铁",468.0,50870元/㎡,92.0,468.0,50870.0,2002.0,3.0
益田村端头采光通风都很好居住也很舒适！！！,3室2厅1卫,99.66㎡,北,低层(共32层),1995年建造,益田村,福田,益田村,益田路,"北,满五年,近地铁,采光较好",518.0,51977元/㎡,99.66,518.0,51977.0,1995.0,3.0
鸿荣源次新小区大三房急售，可谈价，装修好,3室2厅2卫,88.27㎡,西南,低层(共48层),2020年建造,壹成中心第三区,龙华,龙华中心区,工业路,"西南,满五年,近地铁,次新房",432.0,48941元/㎡,88.27,432.0,48941.0,2020.0,3.0
来电议价！福田笋盘！（60全包）房产证齐全，可按揭，带车位,3室2厅1卫,95㎡,南,中层(共32层),2013年建造,橄榄鹏苑,福田,福田中心区,彩田路3030号,"南,满五年,近地铁,车位充足",285.0,30000元/㎡,95.0,285.0,30000.0,2013.0,3.0
龙华区政府 出行方便 商圈成熟 双卫 近地铁 南北通透,3室2厅2卫,94.62㎡,南北,低层(共31层),2020年建造,锦顺星苑,龙华,龙华区政府,碧澜路,"南北,近地铁,车位充足,采光较好",300.0,31706元/㎡,94.62,300.0,31706.0,2020.0,3.0
福田2023年次新小区 安静看公园和小区双视野 精装直接入住,3室2厅2卫,110㎡,南北,高层(共50层),2023年建造,华富村,福田,华强北,华富路,"南北,满五年,近地铁,次新房",1090.0,99091元/㎡,110.0,1090.0,99091.0,2023.0,3.0
小户型还想要大社区这里可以   位！,1室1厅1卫,41.79㎡,南北,低层(共32层),2004年建造,皇庭世纪,福田,皇岗,益田路3006号,"南北,满五年,近地铁",263.0,62934元/㎡,41.79,263.0,62934.0,2004.0,1.0
刚需   ！香蜜三村豪装三房，业主处理资产急出,3室2厅1卫,118.9㎡,西北,低层(共25层),2000年建造,香蜜三村,福田,景田南,景田南四街30号,"西北,满五年,近地铁,采光较好",520.0,43735元/㎡,118.9,520.0,43735.0,2000.0,3.0
地铁口，精装三房，在调整15万，急316万，文华花园,3室2厅2卫,100.5㎡,南北,高层(共7层),1992年建造,文华花园(罗湖),罗湖,黄贝岭,北斗路38号,"南北,满五年,近地铁,户型方正",316.0,31443元/㎡,100.5,316.0,31443.0,1992.0,3.0
店长首推！3字头！福田CBD小高层三房两卫，南北豪装！,3室2厅2卫,98.95㎡,南北,中层(共18层),1999年建造,香蜜三村,福田,景田南,景田南四街30号,"南北,满五年,近地铁,户型方正",386.0,39010元/㎡,98.95,386.0,39010.0,1999.0,3.0
宝安中心区3字头电梯三房联系乐有家韩进进衍,3室2厅2卫,92.5㎡,南北,高层(共13层),2001年建造,金成名苑,宝安,宝安中心区,宝安大道2066号,"南北,满五年,近地铁,车位充足",359.0,38811元/㎡,92.5,359.0,38811.0,2001.0,3.0
南光捷佳大厦诚心出售，户型方正，通风采光优，带重点！,2室1厅1卫,58.33㎡,北,高层(共34层),2002年建造,南光捷佳大厦,福田,华强北,深南中路3037号,"北,满五年,近地铁,户型方正",280.0,48003元/㎡,58.33,280.0,48003.0,2002.0,2.0
星河盛世 小区绿化高 临地铁 满五   中间好楼层,2室2厅1卫,76.23㎡,南,中层(共30层),2013年建造,星河盛世,龙华,梅林关口,梅龙路2号,"南,满五年,近地铁,绿化率高",430.0,56409元/㎡,76.23,430.0,56409.0,2013.0,2.0
桃园地铁口，花园社区，电梯小高层，小三房，业主急售中！,3室1厅1卫,72.82㎡,南,低层(共18层),2003年建造,如意家园,南山,南头,常兴路102号,"南,满五年,近地铁,绿化率高",350.0,48064元/㎡,72.82,350.0,48064.0,2003.0,3.0
名居山河里南北通三房看花园 永湖地铁站 有钥匙价格可谈,3室2厅2卫,102㎡,南北,高层(共46层),2025年建造,名居山河里(1期),龙岗,横岗,龙岗大道,"南北,满五年,近地铁,次新房",226.0,22157元/㎡,102.0,226.0,22157.0,2025.0,3.0
诚意急卖    就可以响受一线海景房大平层无遮档海视野平宜卖,4室2厅2卫,154.09㎡,南北,高层(共28层),2016年建造,华丰前海湾(一期商住楼),宝安,碧海湾,兴业路,"南北,满五年,近地铁,采光较好",760.0,49322元/㎡,154.09,760.0,49322.0,2016.0,4.0
福安雅园 南向采光好 带电梯 刚需小三居 得房好 小区新,3室2厅1卫,89㎡,南,低层(共34层),2015年建造,福安雅园,龙华,观澜,福前路,"南,满五年,采光较好,人气热搜",238.0,26742元/㎡,89.0,238.0,26742.0,2015.0,3.0
下梅林 临地铁 环境优美 满五   高楼层视野好 正规商品房,3室2厅1卫,93㎡,南北,高层(共9层),2003年建造,梅林一村(五至十三区),福田,下梅林,梅林路148号,"南北,满五年,近地铁,绿化率高",630.0,67742元/㎡,93.0,630.0,67742.0,2003.0,3.0
缇香名苑，方正户型大阳台，精装大3房，花园泳池社区,3室2厅2卫,97.86㎡,南,中层(共21层),2004年建造,缇香名苑,福田,景田南,香梅路,"南,满五年,近地铁,绿化率高",708.0,72349元/㎡,97.86,708.0,72349.0,2004.0,3.0
乐城二期精装四房南北通透双阳台格局一线公园山景视野开阔无遮挡,4室2厅2卫,108㎡,南北,中层(共32层),2023年建造,乐城(二期),龙岗,大运,联信路2号,"南北,近地铁,次新房,多人关注",262.3,24288元/㎡,108.0,262.3,24288.0,2023.0,4.0
荷坳地铁口南北通大四房背靠乐城公园环境好近地铁房子看中价可谈,4室2厅2卫,119㎡,南北,低层(共32层),2023年建造,乐城(二期),龙岗,大运,联信路2号,"南北,满五年,近地铁,次新房",288.8,24269元/㎡,119.0,288.8,24269.0,2023.0,4.0
名居山河里(1期) 业主急出卖房救命 高楼层采光充足,3室2厅2卫,102㎡,南北,高层(共46层),2024年建造,名居山河里(1期),龙岗,横岗,龙岗大道,"南北,满二年,近地铁,次新房",233.0,22844元/㎡,102.0,233.0,22844.0,2024.0,3.0
