标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡)
已出证！急急急！业主急售！御龙天地大三房 近地铁 看房方便,3室2厅2卫,108㎡,南,中层(共55层),2025年建造,御龙天地,罗湖,翠竹,华丽路,"南,热门小区,房东急售,随时可看",599,55463元/㎡
御河堤性价比之3房，业主急售，一口价钥匙在手，看房方便,3室2厅1卫,87.93㎡,南北,高层(共26层),2009年建造,御河堤(城滨雅苑),福田,上步,东园路28号,"南北,满五年,近地铁",515,58570元/㎡
业主急售信义金御山居精装修三房两卫南北通透可拎包入住欢迎咨询,3室2厅2卫,84㎡,南北,高层(共32层),2025年建造,信义金御山居,龙岗,横岗,广达路27号,"南北,满五年,近地铁,次新房",244,29048元/㎡
金叶茗苑~中楼层电梯房~停车充足~双卫~小区绿化高~密度低,3室2厅1卫,95.96㎡,西北,中层(共15层),2002年建造,金叶茗苑,宝安,宝安中心区,翻身路,"西北,满二年,近地铁,采光较好",430,44811元/㎡
核心区域15年次新三房丨地铁万达业主处理资产抛了,3室2厅1卫,77.34㎡,西南,低层(共32层),2015年建造,华盛盛荟,宝安,新安,上川路,"西南,满五年,近地铁,车位充足",425,54953元/㎡
厅出阳台朝南的三房，位置安静,3室2厅2卫,98.83㎡,西南,低层(共6层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"西南,满五年,近地铁,多人关注",618,62532元/㎡
福田中心区旁地铁口豪装大两房，3XX，婚房装修拎包入住,2室2厅1卫,82㎡,北,中层(共29层),2001年建造,共和世家,福田,皇岗,益田路2004号,"北,热门小区,房东急售,随时可看",424,51708元/㎡
坪山中心区地铁口旁 价格可谈 满五  税费少业主非常急卖急卖,3室2厅2卫,86.75㎡,南北,中层(共33层),2013年建造,大东城(二期),坪山,坪山,行政九路2号,"南北,满五年,近地铁,多人关注",95,10952元/㎡
一线海景，毫无遮挡，业主自住50万豪华装修，2房可改3房，,2室2厅1卫,83.28㎡,南,中层(共8层),1998年建造,东埔海景花园,盐田,沙头角,金融路2号,"南,近地铁,户型方正",330,39626元/㎡
前海，带私家40平大花园，南北通透电梯小高层，业主急售！,4室2厅2卫,108.21㎡,南,高层(共25层),2004年建造,东方新地,南山,南头,深南大道,"南,满五年,近地铁,采光较好",560,51752元/㎡
地铁口大花园使用率高！红本在手电梯小高层南向大三房！,3室2厅2卫,92.01㎡,南,高层(共9层),2004年建造,叠翠新峰,龙岗,龙岗中心城,碧新路2066号,"南,满五年,近地铁,绿化率高",190,20650元/㎡
万科清林径花园式的小区，视野无遮挡很治愈，业主急售！,3室2厅1卫,79.76㎡,北,高层(共32层),2012年建造,万科清林径(二期),龙岗,龙岗中心城,"连心路,近朱古石路","北,满五年,绿化率高,多人关注",152,19058元/㎡
南山西丽大花园万科物业！大三房高层，业主精装！,3室2厅2卫,104.41㎡,西北,中层(共22层),2004年建造,南国丽城,南山,西丽,留仙大道1306号,"西北,配套成熟,公摊小,交易周期可谈",658,63021元/㎡
沙头角次新房，鹏瑞尚府精装3房双阳台,3室2厅2卫,117.61㎡,南北,低层(共46层),2024年建造,鹏瑞尚府,盐田,沙头角,田心东路,"南北,有电梯,近地铁,次新房",538,45745元/㎡
深中有效 安静后排看山景 业主换房急售 价格可刀,3室2厅2卫,89.15㎡,西南,低层(共33层),2019年建造,颐安麓园,龙岗,龙岗中心城,黄阁路,"西南,满五年,近地铁,户型方正",362,40606元/㎡
特皓苑诚心出售，朝南高楼层，采光  ，带地面花园，人车分流,3室2厅1卫,82㎡,南,高层(共8层),2001年建造,特皓苑,福田,上梅林,林园东路10号,"南,唯一住房,近地铁,采光较好",332,40488元/㎡
海雅缤纷城旁，新安湖花园急卖笋盘，大花园社区,3室2厅2卫,115.51㎡,南,中层(共33层),1999年建造,新安湖花园(二三期),宝安,新安,兴华二路188号,"南,满五年,近地铁",468,40516元/㎡
"光明新村，朝南精装3房,户型正气,楼层好老少皆宜,价格可谈",3室2厅2卫,80㎡,南北,中层(共25层),2016年建造,光明新村,光明,光明,华裕路,"南北,满五年,近地铁,多人关注",120,15000元/㎡
颐安四期精装三房双卫中间楼层坐北朝南视野开阔直接可以拎包入住,3室2厅2卫,87.54㎡,南北,高层(共31层),2023年建造,颐安都会中央(四期),龙岗,大运,红棉路,"热门小区,南北通透,满五",314,35870元/㎡
户型方正结构合理，正规的三房，西向业主诚心出,3室2厅2卫,85.83㎡,西,高层(共45层),2017年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"西,满五年,近地铁,采光较好",528,61517元/㎡
恒大通透舒适宜居户型看房提前联系,3室2厅2卫,97.21㎡,南,低层(共46层),2019年建造,恒大天璟,南山,南油,南海大道,"南,房东发布,满五年,近地铁",549,56476元/㎡
南山区政府  换房易 南向大平层 精装修三居室 环境优美,3室2厅2卫,110㎡,南,低层(共30层),2021年建造,金众麒麟公馆,南山,大学城,沁园二路,"南,满二年,近地铁,次新房",830,75455元/㎡
万科金域学府近回龙埔地铁,3室2厅2卫,89.91㎡,东南,高层(共49层),2023年建造,万科金域学府,龙岗,龙城国际,龙埔路,"东南,满二年,近地铁,次新房",310,34479元/㎡
精装修两房地铁口物业紧邻洪湖公园,2室2厅1卫,63.96㎡,东南,低层(共32层),2010年建造,田贝花园,罗湖,洪湖,文锦北路1081号,"东南,有电梯,近地铁,采光较好",308,48156元/㎡
深物业金领 出行方便 次新房 近医院 商品住宅 南北通透,2室2厅1卫,63.63㎡,南北,低层(共48层),2021年建造,深物业金领,福田,皇岗,福田南路40号,"南北,热门小区,新上小区,优势户型",368,57835元/㎡
商品房 楼龄新 带电梯 满五   南向采光好 大两居,3室2厅2卫,86.03㎡,南,低层(共33层),2016年建造,金众云山栖,大鹏新区,葵涌,石葵路,"南,满五年,车位充足",190,22086元/㎡
龙岗中心城别墅399买 上下三层 三卫 独门独户,4室2厅3卫,164.04㎡,南北,共3层,2006年建造,中央悦城,龙岗,龙岗中心城,长兴北路3号,"南北,满五年,近地铁,绿化率高",399,24324元/㎡
黄埔雅苑一期，方正户型，通风采光佳，带地面花园，人车分流，业,3室2厅2卫,107.12㎡,西北,中层(共27层),2001年建造,黄埔雅苑翠悠园,福田,福田中心区,福中路318号,"西北,满五年,近地铁,绿化率高",820,76550元/㎡
正规商品房 满五   房龄新 车位充足 双卫生间 近医院,3室2厅2卫,88.95㎡,南,低层(共31层),2016年建造,怡瑞达乐郡,龙岗,同乐,深汕路418号,"南,满五年,近地铁,车位充足",106,11917元/㎡
电梯房 朝南 商圈成熟 满五 正规商品房 近地铁 诚心出售,4室2厅3卫,84.7㎡,南,高层(共32层),2011年建造,来座山,布吉,慢城,科技园路,"南,房东发布,满五年,近地铁",440,51949元/㎡
实地看过，高使用率的电梯小高层,4室2厅2卫,115.53㎡,北,中层(共18层),2002年建造,星海名城(二期),南山,前海,前海路3103号,"北,近地铁,优势户型,房东急售",680,58860元/㎡
龙岗中心城 双卫格局 装修豪华保养好 房龄新 医疗配套成熟,4室2厅2卫,89.44㎡,南,高层(共33层),2017年建造,恒裕嘉城,龙岗,龙岗中心城,龙升路36号,"南,满五年,近地铁",143,15989元/㎡
户型方正，通风采光俱佳，客厅出阳台，使用率高,2室2厅1卫,64.91㎡,北,中层(共27层),2003年建造,帝港海湾豪园,福田,保税区,桂花路11号,"北,唯一住房,近地铁,采光较好",340,52381元/㎡
"紧邻地铁,地铁口花园小区（红本在手，包过户可按揭）来电随时看",3室2厅2卫,80㎡,南北,中层(共11层),2012年建造,黄金豪庭(南山),南山,南油,粤海路13号,"南北,满五年,近地铁",140,17500元/㎡
福田中心区 70年产权 总价1字头可买2房 租    元,1室1厅1卫,38㎡,南,,2026年建造,京基宸悦府·芯悦club,福田,上梅林,地铁4/9号线上梅林站约300米,"卧室全朝南,动静分离,多轨交",178,46843元/㎡
380起，深中南创旁，次新楼盘现房交付,1室1厅1卫,58㎡,南,,2024年建造,丹华公馆(新房),南山,西丽,留仙洞片区打石一路西南侧,"厨卫全明,南北通透,动静分离,多轨交",492,84828元/㎡
中建鹏宸云筑  梅林关 得房率超95% 总价416万起,3室2厅2卫,126㎡,南,,2026年建造,中建壹品·湖北文旅·鹏宸云筑,龙华,民治,华南路与民乐路交汇处西北侧,"南北通透,厨卫全明,主卧套房,轨交房",712,56508元/㎡
业主急价格好谈很熟的业主 钥匙在手看房方便 地铁口天虹楼上,3室2厅2卫,88.89㎡,南,中层(共24层),2012年建造,深业东城国际,坪山,坪山,锦龙大道,"南,满五年,近地铁,车位充足",205,23063元/㎡
世界金融中心业主急售145 带露台一房一厅,1室1厅1卫,34.9㎡,南北,高层(共25层),2004年建造,世界金融中心,罗湖,国贸,深南东路,"南北,满二年,近地铁",145,41548元/㎡
沙井 满五 双卫格局 小三房 精装可拎包入住 小区新 电梯房,3室2厅2卫,88.99㎡,南,低层(共33层),2015年建造,博林君瑞,宝安,沙井,"中心路,近上星南路","南,满五年,近地铁,户型方正",336.8,37847元/㎡
择居滨河新村处，一宅揽尽人间烟火色！,3室2厅1卫,84.1㎡,东南,低层(共7层),1984年建造,滨河新村,福田,上步,东园路17号,"东南,房东发布,满五年,近地铁",416,49465元/㎡
园岭中小双本部，全屋温馨精装，  楼层，出行无忧,3室2厅1卫,84.33㎡,南北,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,热门小区,房东急售,随时可看",495,58698元/㎡
馨庭苑诚心出售，户型方正，通风采光优，带    与地面花园，,4室2厅2卫,120㎡,东南,中层(共16层),1998年建造,馨庭苑(福田),福田,景田北,景田北街22号,"东南,满五年,近地铁,绿化率高",1099,91584元/㎡
急售420 金融街华发融御花园，税费低，户型方正，通风采光优,4室2厅2卫,115.13㎡,南北,高层(共37层),2023年建造,金融街华发融御华府,光明,光明,科能路,"南北,满五年,近地铁,次新房",420,36481元/㎡
福田中心区电梯小高层赠露台户型露台4子头,3室2厅2卫,98.06㎡,北,低层(共9层),1998年建造,嘉洲豪园,福田,新洲,滨河大道9013号,"北,满五年,近地铁,采光较好",430,43851元/㎡
东南朝向三室两厅，公园环绕，地铁便捷，舒适生活尽在此处。,3室2厅2卫,116.59㎡,东南,中层(共32层),2000年建造,怡园大厦,南山,南山中心区,学府路101号,"东南,满五年,近地铁,采光较好",460,39455元/㎡
新出南向大三房！电梯小高层！格局方正通透！停车方便！,3室2厅1卫,92㎡,南,高层(共7层),2002年建造,前海花园,南山,前海,桃园路288号,"南,满五年,近地铁",468,50870元/㎡
园岭四房  诚心出售 价格可谈 看房方便 随时联系,4室2厅1卫,92.62㎡,南北,高层(共7层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,热门小区,房东急售,随时可看",496,53553元/㎡
益田村端头采光通风都很好居住也很舒适！！！,3室2厅1卫,99.66㎡,北,低层(共32层),1995年建造,益田村,福田,益田村,益田路,"北,满五年,近地铁,采光较好",518,51977元/㎡
鸿荣源次新小区大三房急售，可谈价，装修好,3室2厅2卫,88.27㎡,西南,低层(共48层),2020年建造,壹成中心第三区,龙华,龙华中心区,工业路,"西南,满五年,近地铁,次新房",432,48941元/㎡
来电议价！福田笋盘！（60全包）房产证齐全，可按揭，带车位,3室2厅1卫,95㎡,南,中层(共32层),2013年建造,橄榄鹏苑,福田,福田中心区,彩田路3030号,"南,满五年,近地铁,车位充足",285,30000元/㎡
龙华区政府 出行方便 商圈成熟 双卫 近地铁 南北通透,3室2厅2卫,94.62㎡,南北,低层(共31层),2020年建造,锦顺星苑,龙华,龙华区政府,碧澜路,"南北,近地铁,车位充足,采光较好",300,31706元/㎡
福田2023年次新小区 安静看公园和小区双视野 精装直接入住,3室2厅2卫,110㎡,南北,高层(共50层),2023年建造,华富村,福田,华强北,华富路,"南北,满五年,近地铁,次新房",1090,99091元/㎡
恒大通透舒适宜居户型看房提前联系,3室2厅2卫,97.21㎡,南,低层(共46层),2019年建造,恒大天璟,南山,南油,南海大道,"南,近地铁,新上小区,配套成熟",549,56476元/㎡
小户型还想要大社区这里可以   位！,1室1厅1卫,41.79㎡,南北,低层(共32层),2004年建造,皇庭世纪,福田,皇岗,益田路3006号,"南北,满五年,近地铁",263,62934元/㎡
刚需   ！香蜜三村豪装三房，业主处理资产急出,3室2厅1卫,118.9㎡,西北,低层(共25层),2000年建造,香蜜三村,福田,景田南,景田南四街30号,"西北,满五年,近地铁,采光较好",520,43735元/㎡
地铁口，精装三房，在调整15万，急316万，文华花园,3室2厅2卫,100.5㎡,南北,高层(共7层),1992年建造,文华花园(罗湖),罗湖,黄贝岭,北斗路38号,"南北,满五年,近地铁,户型方正",316,31443元/㎡
店长首推！3字头！福田CBD小高层三房两卫，南北豪装！,3室2厅2卫,98.95㎡,南北,中层(共18层),1999年建造,香蜜三村,福田,景田南,景田南四街30号,"南北,满五年,近地铁,户型方正",386,39010元/㎡
宝安中心区3字头电梯三房联系乐有家韩进进衍,3室2厅2卫,92.5㎡,南北,高层(共13层),2001年建造,金成名苑,宝安,宝安中心区,宝安大道2066号,"南北,满五年,近地铁,车位充足",359,38811元/㎡
好装两房，高楼层，看莲花山公园，精装修，业主诚心卖，看房方便,2室2厅1卫,84.79㎡,东北,高层(共32层),1997年建造,中银花园,福田,福田中心区,福中一路1006号,"东北,热门小区,房东急售,随时可看",388,45761元/㎡
南光捷佳大厦诚心出售，户型方正，通风采光优，带重点！,2室1厅1卫,58.33㎡,北,高层(共34层),2002年建造,南光捷佳大厦,福田,华强北,深南中路3037号,"北,满五年,近地铁,户型方正",280,48003元/㎡
星河盛世 小区绿化高 临地铁 满五   中间好楼层,2室2厅1卫,76.23㎡,南,中层(共30层),2013年建造,星河盛世,龙华,梅林关口,梅龙路2号,"南,满五年,近地铁,绿化率高",430,56409元/㎡
桃园地铁口，花园社区，电梯小高层，小三房，业主急售中！,3室1厅1卫,72.82㎡,南,低层(共18层),2003年建造,如意家园,南山,南头,常兴路102号,"南,满五年,近地铁,绿化率高",350,48064元/㎡
名居山河里南北通三房看花园 永湖地铁站 有钥匙价格可谈,3室2厅2卫,102㎡,南北,高层(共46层),2025年建造,名居山河里(1期),龙岗,横岗,龙岗大道,"南北,满五年,近地铁,次新房",226,22157元/㎡
诚意急卖    就可以响受一线海景房大平层无遮档海视野平宜卖,4室2厅2卫,154.09㎡,南北,高层(共28层),2016年建造,华丰前海湾(一期商住楼),宝安,碧海湾,兴业路,"南北,满五年,近地铁,采光较好",760,49322元/㎡
电梯房 朝南 商圈成熟 满五 正规商品房 近地铁 诚心出售,4室2厅3卫,84.7㎡,南,高层(共32层),2011年建造,来座山,布吉,慢城,科技园路,"南,近地铁,优势户型,房东急售",440,51949元/㎡
福安雅园 南向采光好 带电梯 刚需小三居 得房好 小区新,3室2厅1卫,89㎡,南,低层(共34层),2015年建造,福安雅园,龙华,观澜,福前路,"南,满五年,采光较好,人气热搜",238,26742元/㎡
下梅林 临地铁 环境优美 满五   高楼层视野好 正规商品房,3室2厅1卫,93㎡,南北,高层(共9层),2003年建造,梅林一村(五至十三区),福田,下梅林,梅林路148号,"南北,满五年,近地铁,绿化率高",630,67742元/㎡
缇香名苑，方正户型大阳台，精装大3房，花园泳池社区,3室2厅2卫,97.86㎡,南,中层(共21层),2004年建造,缇香名苑,福田,景田南,香梅路,"南,满五年,近地铁,绿化率高",708,72349元/㎡
乐城二期精装四房南北通透双阳台格局一线公园山景视野开阔无遮挡,4室2厅2卫,108㎡,南北,中层(共32层),2023年建造,乐城(二期),龙岗,大运,联信路2号,"南北,近地铁,次新房,多人关注",262.3,24288元/㎡
荷坳地铁口南北通大四房背靠乐城公园环境好近地铁房子看中价可谈,4室2厅2卫,119㎡,南北,低层(共32层),2023年建造,乐城(二期),龙岗,大运,联信路2号,"南北,满五年,近地铁,次新房",288.8,24269元/㎡
沙头角精装3房核心商圈海山地铁口好户型满5年,3室2厅2卫,89.31㎡,西南,中层(共26层),2016年建造,上善梧桐苑,盐田,沙头角,海山路98号,"西南,热门小区,新上小区,房东急售",388,43445元/㎡
名居山河里(1期) 业主急出卖房救命 高楼层采光充足,3室2厅2卫,102㎡,南北,高层(共46层),2024年建造,名居山河里(1期),龙岗,横岗,龙岗大道,"南北,满二年,近地铁,次新房",233,22844元/㎡
大红本过户！中海锦城 带家私电 急急！！业主全包 无抵押无欠,3室2厅2卫,87.98㎡,南,中层(共39层),2020年建造,中海锦城,龙华,民治,腾龙路,"南,满五年,近地铁,车位充足",460,52285元/㎡
信义御城(一期) 业主好说话商业配套齐全 刚需小三居 有电梯,3室2厅2卫,109㎡,南,低层(共33层),2014年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","南,满五年,近地铁",228,20918元/㎡
倚山花园小高层，泰式园林，居住安静大面积4房，车位足足的,4室2厅2卫,136.91㎡,南北,低层(共12层),2004年建造,新世界倚山花园,盐田,沙头角,梧桐路1968号,"南北,满五年,近地铁,车位充足",540,39442元/㎡
超高的使用率，看海景两房，高层采光好，干净，随时安排,2室2厅1卫,62.42㎡,西北,中层(共27层),2010年建造,阳光花地苑,南山,前海,前海路1082号,"西北,满五年,近地铁",356,57034元/㎡
特皓苑诚心出售，朝南高楼层，采光  ，带地面花园，人车分流,3室2厅1卫,82㎡,南,高层(共8层),2001年建造,特皓苑,福田,上梅林,林园东路10号,"南,热门小区,房东急售,随时可看",332,40488元/㎡
sym12月实拍封面四阳台，租户住出了新格调，12开头可得,4室2厅2卫,159.29㎡,南北,低层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"南北,满五年,近地铁,采光较好",1266,79478元/㎡
2024次新 领包入住 居家精装 北欧原木风格,2室2厅1卫,61.86㎡,西南,低层(共32层),2024年建造,尚悦府,福田,沙嘴,沙嘴中心街47号,"西南,满二年,近地铁,次新房",475,76787元/㎡
政府信任背书换房易，超急卖！产权清晰，看房随时,3室2厅2卫,110.28㎡,南北,中层(共30层),2021年建造,金众麒麟公馆,南山,大学城,沁园二路,"南北,近地铁,次新房,采光较好",718,65108元/㎡
万科新上！福外本部小洋房~精致新上。拎包住，小区总价,3室2厅1卫,84.66㎡,南,低层(共9层),1997年建造,万科城市花园,福田,景田北,香梅路2038号,"南,满五年,近地铁",799,94378元/㎡
宝安~深航幸福花园~自住装修~客厅朝南~落地窗,3室2厅2卫,90㎡,南,高层(共28层),2006年建造,深航幸福花园,宝安,塘尾,荔园路,"南,满五年,近地铁",235,26112元/㎡
前海，带私家40平大花园，南北通透电梯小高层，业主急售！,4室2厅2卫,108.21㎡,南,高层(共25层),2004年建造,东方新地,南山,南头,深南大道,"南,热门小区,房东急售,随时可看",560,51752元/㎡
出国急出，锦绣花园东南向大三房满五  税低，看房我有密码。,3室2厅2卫,117㎡,南北,低层(共33层),1998年建造,锦绣花园(南山一期),南山,华侨城,深南大道9002号,"南北,满五年,近地铁,采光较好",650,55556元/㎡
性价比房源，业主诚心出售.,2室2厅2卫,94.77㎡,东北,中层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"东北,满五年,近地铁,车位充足",640,67532元/㎡
私家露台，汇城茗院通透户型大四房，2梯3户，1：1.5车位比,4室2厅2卫,120.56㎡,东南,低层(共40层),2023年建造,汇城茗院,南山,大学城,西丽湖路,"东南,满二年,近地铁,次新房",1080,89582元/㎡
业主急出！房子的装修保养好，阳台也很大,3室2厅2卫,88.47㎡,东北,低层(共31层),2009年建造,金港华庭,宝安,西乡,宝安大道4009号,"东北,满五年,近地铁",360,40692元/㎡
新上！30 全屋定制精装，换房业主急售，看房方便,2室2厅1卫,66㎡,东北,中层(共18层),1999年建造,海滨广场(福田),福田,皇岗,福强路1040号,"东北,满五年,近地铁,绿化率高",243,36819元/㎡
